age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,subscribed,age_group,was_contacted_before,high_contact_freq,season,segment,segment_name,conv_probability,priority_rank
48,housemaid,married,professional.course,no,yes,no,cellular,jul,wed,496,2,6,2,success,-1.7,94.215,-40.3,0.896,4991.6,1,40-50,1,0,Summer,1,Warm Prospects,0.9892476,23
31,admin.,married,university.degree,no,yes,no,cellular,may,thu,400,1,3,1,success,-1.8,93.876,-40.0,0.683,5008.7,1,30-40,1,0,Spring,1,Warm Prospects,0.9891305,24
83,housemaid,divorced,basic.4y,no,yes,no,cellular,jul,tue,667,2,3,1,success,-1.7,94.215,-40.3,0.797,4991.6,1,60+,1,0,Summer,1,Warm Prospects,0.9890325,25
40,management,married,university.degree,no,yes,no,cellular,jul,fri,955,1,9,1,success,-1.7,94.215,-40.3,0.896,4991.6,1,30-40,1,0,Summer,1,Warm Prospects,0.98891795,26
30,technician,single,professional.course,no,no,no,cellular,sep,tue,706,1,6,1,success,-1.1,94.199,-37.5,0.877,4963.6,0,<30,1,0,Autumn,1,Warm Prospects,0.98891455,27
27,student,single,high.school,no,no,no,telephone,oct,tue,187,1,999,0,nonexistent,-0.1,93.798,-40.4,4.968,5195.8,1,<30,0,0,Autumn,4,Hard to Convert,0.9886973,28
70,retired,married,basic.4y,no,yes,no,cellular,may,thu,331,1,3,2,success,-1.8,93.876,-40.0,0.683,5008.7,1,60+,1,0,Spring,2,High-Value Responders,0.9886797,29
58,admin.,married,high.school,no,yes,no,cellular,may,wed,309,1,6,1,success,-1.8,93.876,-40.0,0.682,5008.7,1,50-60,1,0,Spring,1,Warm Prospects,0.9886608,30
29,admin.,single,high.school,no,yes,no,cellular,jul,thu,480,1,6,1,success,-1.7,94.215,-40.3,0.81,4991.6,1,<30,1,0,Summer,1,Warm Prospects,0.9886496,31
70,retired,divorced,basic.4y,no,no,no,cellular,jul,thu,390,2,6,2,success,-1.7,94.215,-40.3,0.846,4991.6,1,60+,1,0,Summer,2,High-Value Responders,0.9885283,32
47,admin.,married,university.degree,no,no,no,cellular,aug,wed,470,1,4,2,success,-1.7,94.027,-38.3,0.9,4991.6,1,40-50,1,0,Summer,1,Warm Prospects,0.9882279,33
38,admin.,married,high.school,no,no,no,cellular,jul,thu,561,2,10,2,success,-1.7,94.215,-40.3,0.782,4991.6,1,30-40,1,0,Summer,1,Warm Prospects,0.98822325,34
59,technician,married,professional.course,no,yes,no,cellular,jul,fri,457,2,15,1,success,-1.7,94.215,-40.3,0.861,4991.6,1,50-60,1,0,Summer,1,Warm Prospects,0.98817784,35
28,services,single,high.school,no,yes,no,cellular,jul,thu,957,1,6,1,success,-1.7,94.215,-40.3,0.846,4991.6,1,<30,1,0,Summer,1,Warm Prospects,0.9881434,36
69,retired,married,high.school,no,no,no,cellular,may,wed,289,1,10,1,success,-1.8,93.876,-40.0,0.697,5008.7,1,60+,1,0,Spring,2,High-Value Responders,0.98812675,37
66,retired,married,basic.4y,no,yes,no,cellular,mar,tue,229,1,6,1,success,-1.8,93.369,-34.8,0.655,5008.7,1,60+,1,0,Spring,2,High-Value Responders,0.9881158,38
34,admin.,single,university.degree,no,no,no,telephone,mar,tue,225,1,3,1,success,-1.8,93.369,-34.8,0.652,5008.7,1,30-40,1,0,Spring,1,Warm Prospects,0.9881144,39
68,retired,divorced,high.school,no,yes,yes,cellular,jul,wed,340,1,3,1,success,-1.7,94.215,-40.3,0.896,4991.6,1,60+,1,0,Summer,2,High-Value Responders,0.9879265,40
28,student,single,high.school,no,no,yes,cellular,may,wed,472,1,3,5,success,-1.8,93.876,-40.0,0.69,5008.7,1,<30,1,0,Spring,1,Warm Prospects,0.9878791,41
41,technician,married,university.degree,no,yes,yes,cellular,may,mon,963,1,3,2,success,-1.8,92.893,-46.2,1.354,5099.1,1,40-50,1,0,Spring,1,Warm Prospects,0.9878278,42
33,admin.,married,university.degree,no,yes,no,cellular,nov,fri,482,1,12,1,success,-1.1,94.767,-50.8,1.049,4963.6,1,30-40,1,0,Autumn,1,Warm Prospects,0.9876736,43
31,admin.,single,university.degree,no,yes,no,telephone,mar,tue,295,1,3,2,success,-1.8,93.369,-34.8,0.646,5008.7,1,30-40,1,0,Spring,1,Warm Prospects,0.9875613,44
64,retired,married,university.degree,no,no,no,cellular,mar,tue,700,2,5,1,success,-1.8,93.369,-34.8,0.652,5008.7,1,60+,1,0,Spring,2,High-Value Responders,0.9874248,45
76,retired,married,university.degree,no,yes,no,cellular,aug,thu,504,2,6,3,success,-1.7,94.027,-38.3,0.899,4991.6,1,60+,1,0,Summer,2,High-Value Responders,0.98741513,46
61,admin.,married,university.degree,no,yes,yes,telephone,aug,wed,425,1,6,2,success,-1.7,94.027,-38.3,0.903,4991.6,1,60+,1,0,Summer,1,Warm Prospects,0.9873897,47
35,admin.,married,university.degree,no,yes,no,cellular,aug,wed,765,2,6,3,success,-1.7,94.027,-38.3,0.903,4991.6,1,30-40,1,0,Summer,1,Warm Prospects,0.9872301,48
31,technician,married,professional.course,no,yes,no,cellular,jun,tue,619,2,3,1,success,-1.7,94.055,-39.8,0.723,4991.6,1,30-40,1,0,Summer,1,Warm Prospects,0.9871898,49
36,admin.,married,university.degree,no,yes,yes,cellular,may,thu,1178,1,6,2,success,-1.8,93.876,-40.0,0.699,5008.7,1,30-40,1,0,Spring,1,Warm Prospects,0.9871717,50
38,blue-collar,single,high.school,no,no,no,telephone,mar,tue,450,3,6,2,success,-1.8,93.369,-34.8,0.652,5008.7,1,30-40,1,0,Spring,1,Warm Prospects,0.98713845,51
31,blue-collar,married,basic.6y,no,yes,no,telephone,oct,tue,154,1,999,0,nonexistent,-0.1,93.798,-40.4,4.86,5195.8,1,30-40,0,0,Autumn,3,Price Sensitive,0.98712593,52
34,admin.,single,university.degree,no,no,no,cellular,mar,tue,241,1,6,1,success,-1.8,93.369,-34.8,0.652,5008.7,1,30-40,1,0,Spring,1,Warm Prospects,0.9871088,53
46,admin.,married,high.school,no,yes,yes,cellular,jul,tue,396,1,13,2,success,-1.7,94.215,-40.3,0.797,4991.6,1,40-50,1,0,Summer,1,Warm Prospects,0.9870955,54
27,admin.,single,university.degree,no,yes,no,cellular,mar,wed,210,1,6,2,success,-1.8,93.369,-34.8,0.634,5008.7,1,<30,1,0,Spring,1,Warm Prospects,0.9870777,55
58,blue-collar,married,basic.4y,no,yes,no,cellular,aug,wed,771,1,3,1,success,-1.7,94.027,-38.3,0.9,4991.6,1,50-60,1,0,Summer,3,Price Sensitive,0.9869437,56
68,retired,married,university.degree,no,no,no,cellular,jul,mon,414,2,12,1,success,-1.7,94.215,-40.3,0.889,4991.6,1,60+,1,0,Summer,2,High-Value Responders,0.9869243,57
45,blue-collar,married,professional.course,no,yes,no,telephone,may,thu,414,1,6,2,success,-1.8,93.876,-40.0,0.683,5008.7,1,40-50,1,0,Spring,1,Warm Prospects,0.9869069,58
37,housemaid,married,university.degree,no,no,no,cellular,oct,thu,453,1,6,2,success,-1.1,94.601,-49.5,1.025,4963.6,1,30-40,1,0,Autumn,1,Warm Prospects,0.98684305,59
81,retired,divorced,basic.4y,no,no,no,cellular,sep,wed,532,2,7,1,success,-1.1,94.199,-37.5,0.886,4963.6,1,60+,1,0,Autumn,2,High-Value Responders,0.986811,60
34,admin.,single,university.degree,no,yes,yes,cellular,mar,tue,301,1,3,2,success,-1.8,93.369,-34.8,0.652,5008.7,1,30-40,1,0,Spring,1,Warm Prospects,0.9867909,61
37,technician,married,professional.course,no,yes,yes,cellular,mar,wed,395,1,9,1,success,-1.8,93.369,-34.8,0.644,5008.7,0,30-40,1,0,Spring,1,Warm Prospects,0.98669344,62
55,unemployed,divorced,university.degree,no,no,no,cellular,mar,tue,212,3,6,3,success,-1.8,93.369,-34.8,0.652,5008.7,1,50-60,1,0,Spring,1,Warm Prospects,0.9866746,63
61,retired,divorced,university.degree,no,no,no,cellular,apr,thu,949,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,60+,0,0,Spring,2,High-Value Responders,0.98667264,64
72,retired,married,basic.4y,no,no,yes,cellular,jul,fri,483,4,8,1,success,-1.7,94.215,-40.3,0.822,4991.6,1,60+,1,1,Summer,2,High-Value Responders,0.98662275,65
28,services,married,high.school,no,no,yes,cellular,jun,wed,479,2,6,2,success,-1.7,94.055,-39.8,0.715,4991.6,1,<30,1,0,Summer,1,Warm Prospects,0.98660684,66
56,admin.,single,university.degree,no,no,no,cellular,mar,wed,193,1,5,1,success,-1.8,93.369,-34.8,0.634,5008.7,1,50-60,1,0,Spring,1,Warm Prospects,0.9865731,67
26,technician,single,university.degree,no,yes,no,cellular,jul,fri,806,3,6,2,success,-1.7,94.215,-40.3,0.861,4991.6,1,<30,1,0,Summer,1,Warm Prospects,0.9865465,68
36,management,married,university.degree,no,no,no,cellular,jun,tue,867,1,3,2,success,-1.7,94.055,-39.8,0.737,4991.6,1,30-40,1,0,Summer,1,Warm Prospects,0.9864889,69
92,retired,married,university.degree,no,yes,no,cellular,may,thu,271,1,6,2,success,-1.8,93.876,-40.0,0.683,5008.7,0,60+,1,0,Spring,2,High-Value Responders,0.98618996,70
66,admin.,divorced,university.degree,no,yes,no,cellular,aug,wed,222,3,6,2,success,-1.7,94.027,-38.3,0.903,4991.6,1,60+,1,0,Summer,1,Warm Prospects,0.9861579,71
48,unemployed,married,professional.course,no,no,no,cellular,may,wed,317,1,6,3,success,-1.8,93.876,-40.0,0.682,5008.7,1,40-50,1,0,Spring,1,Warm Prospects,0.9861485,72
50,housemaid,married,basic.6y,no,no,no,cellular,jul,thu,349,3,6,2,success,-1.7,94.215,-40.3,0.899,4991.6,1,40-50,1,0,Summer,1,Warm Prospects,0.9861296,73
53,housemaid,married,university.degree,no,yes,no,cellular,apr,thu,494,1,6,1,success,-1.8,93.749,-34.6,0.644,5008.7,1,50-60,1,0,Spring,1,Warm Prospects,0.98596025,74
25,unemployed,married,high.school,no,yes,no,cellular,mar,wed,436,2,6,1,success,-1.8,93.369,-34.8,0.651,5008.7,1,<30,1,0,Spring,1,Warm Prospects,0.9859411,75
31,admin.,single,university.degree,no,yes,no,telephone,oct,tue,125,1,999,0,nonexistent,-0.1,93.798,-40.4,4.86,5195.8,1,30-40,0,0,Autumn,4,Hard to Convert,0.98593324,76
36,technician,married,high.school,no,no,no,telephone,oct,wed,157,1,999,0,nonexistent,-0.1,93.798,-40.4,4.936,5195.8,1,30-40,0,0,Autumn,4,Hard to Convert,0.98590577,77
33,admin.,married,university.degree,no,yes,no,cellular,mar,wed,235,3,4,1,success,-1.8,93.369,-34.8,0.655,5008.7,1,30-40,1,0,Spring,1,Warm Prospects,0.98587835,78
83,retired,married,university.degree,no,yes,no,cellular,jul,tue,178,1,6,2,success,-1.7,94.215,-40.3,0.835,4991.6,1,60+,1,0,Summer,2,High-Value Responders,0.9858429,79
76,retired,married,professional.course,no,yes,no,cellular,jun,tue,352,1,3,1,success,-1.7,94.055,-39.8,0.761,4991.6,1,60+,1,0,Summer,2,High-Value Responders,0.98582387,80
31,student,single,university.degree,no,yes,no,cellular,sep,wed,708,2,6,2,success,-1.1,94.199,-37.5,0.88,4963.6,1,30-40,1,0,Autumn,1,Warm Prospects,0.985768,81
60,admin.,married,university.degree,no,no,no,cellular,jul,fri,316,1,6,2,success,-1.7,94.215,-40.3,0.861,4991.6,1,50-60,1,0,Summer,1,Warm Prospects,0.9857679,82
59,unemployed,married,basic.4y,no,yes,no,cellular,jun,mon,614,1,6,2,success,-1.7,94.055,-39.8,0.72,4991.6,1,50-60,1,0,Summer,1,Warm Prospects,0.98574084,83
33,technician,married,professional.course,no,yes,no,telephone,oct,wed,171,1,999,0,nonexistent,-0.1,93.798,-40.4,4.827,5195.8,1,30-40,0,0,Autumn,4,Hard to Convert,0.9857131,84
48,unemployed,married,professional.course,no,no,no,telephone,may,wed,360,1,6,1,success,-1.8,93.876,-40.0,0.682,5008.7,1,40-50,1,0,Spring,1,Warm Prospects,0.9857093,85
66,retired,married,university.degree,no,yes,no,cellular,sep,tue,1394,2,6,1,success,-1.1,94.199,-37.5,0.881,4963.6,1,60+,1,0,Autumn,2,High-Value Responders,0.9856734,86
22,admin.,single,university.degree,no,no,no,cellular,jun,wed,407,1,3,1,success,-1.7,94.055,-39.8,0.704,4991.6,1,<30,1,0,Summer,1,Warm Prospects,0.985666,87
26,admin.,single,high.school,no,no,no,cellular,mar,tue,273,2,6,1,success,-1.8,93.369,-34.8,0.652,5008.7,1,<30,1,0,Spring,1,Warm Prospects,0.9856646,88
26,admin.,single,university.degree,no,yes,yes,cellular,apr,tue,295,4,6,2,success,-1.8,93.749,-34.6,0.644,5008.7,1,<30,1,1,Spring,1,Warm Prospects,0.9855797,89
78,retired,married,university.degree,no,no,no,cellular,mar,thu,272,1,6,2,success,-1.8,93.369,-34.8,0.635,5008.7,1,60+,1,0,Spring,2,High-Value Responders,0.98557127,90
30,student,single,university.degree,no,no,yes,telephone,mar,tue,255,1,3,2,success,-1.8,93.369,-34.8,0.637,5008.7,1,<30,1,0,Spring,1,Warm Prospects,0.9855158,91
29,admin.,single,university.degree,no,no,no,cellular,sep,tue,600,2,3,3,success,-1.1,94.199,-37.5,0.88,4963.6,1,<30,1,0,Autumn,1,Warm Prospects,0.98550457,92
60,admin.,married,university.degree,no,no,no,cellular,nov,tue,787,1,7,2,success,-1.1,94.767,-50.8,1.046,4963.6,1,50-60,1,0,Autumn,1,Warm Prospects,0.98549855,93
85,retired,married,basic.4y,no,no,no,cellular,sep,tue,728,1,3,2,success,-1.1,94.199,-37.5,0.881,4963.6,1,60+,1,0,Autumn,2,High-Value Responders,0.98547435,94
34,admin.,married,university.degree,no,yes,no,cellular,jul,thu,417,1,6,3,success,-1.7,94.215,-40.3,0.899,4991.6,1,30-40,1,0,Summer,1,Warm Prospects,0.98539966,95
84,retired,divorced,university.degree,no,no,no,cellular,sep,tue,333,1,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,1,60+,1,0,Autumn,2,High-Value Responders,0.98530835,96
48,housemaid,married,professional.course,no,no,no,cellular,jul,wed,388,3,6,1,success,-1.7,94.215,-40.3,0.896,4991.6,1,40-50,1,0,Summer,1,Warm Prospects,0.9852562,97
33,admin.,married,university.degree,no,no,no,cellular,nov,tue,843,1,999,0,nonexistent,-1.1,94.767,-50.8,1.035,4963.6,1,30-40,0,0,Autumn,1,Warm Prospects,0.98523104,98
41,admin.,divorced,university.degree,no,yes,no,cellular,mar,fri,498,2,6,3,success,-1.8,93.369,-34.8,0.653,5008.7,1,40-50,1,0,Spring,1,Warm Prospects,0.9852063,99
76,retired,married,professional.course,no,yes,no,cellular,jun,tue,295,1,9,2,success,-1.7,94.055,-39.8,0.761,4991.6,1,60+,1,0,Summer,2,High-Value Responders,0.9852025,100
29,admin.,married,university.degree,no,yes,no,cellular,jul,tue,311,1,3,1,success,-1.7,94.215,-40.3,0.835,4991.6,1,<30,1,0,Summer,1,Warm Prospects,0.9851811,101
40,technician,married,professional.course,no,yes,no,cellular,may,wed,248,1,3,4,success,-1.8,93.876,-40.0,0.682,5008.7,1,30-40,1,0,Spring,1,Warm Prospects,0.9851525,102
37,admin.,single,high.school,no,no,no,cellular,jul,thu,609,2,7,3,success,-1.7,94.215,-40.3,0.782,4991.6,1,30-40,1,0,Summer,1,Warm Prospects,0.9851268,103
78,retired,married,basic.4y,no,no,no,cellular,jul,mon,1148,1,999,0,nonexistent,-1.7,94.215,-40.3,0.87,4991.6,1,60+,0,0,Summer,2,High-Value Responders,0.9850794,104
34,blue-collar,divorced,high.school,no,yes,no,telephone,oct,thu,160,1,999,0,nonexistent,-0.1,93.798,-40.4,4.794,5195.8,1,30-40,0,0,Autumn,3,Price Sensitive,0.9850513,105
42,admin.,single,high.school,no,no,no,cellular,sep,wed,638,1,14,1,success,-1.1,94.199,-37.5,0.88,4963.6,1,40-50,1,0,Autumn,1,Warm Prospects,0.98499596,106
69,retired,married,high.school,no,yes,yes,cellular,sep,wed,840,1,6,2,success,-1.1,94.199,-37.5,0.886,4963.6,1,60+,1,0,Autumn,2,High-Value Responders,0.98498255,107
33,admin.,single,university.degree,no,yes,no,cellular,oct,thu,759,1,3,3,success,-1.1,94.601,-49.5,1.025,4963.6,1,30-40,1,0,Autumn,1,Warm Prospects,0.98490024,108
83,retired,divorced,basic.4y,no,no,no,cellular,nov,tue,242,1,3,3,success,-3.4,92.649,-30.1,0.716,5017.5,1,60+,1,0,Autumn,2,High-Value Responders,0.9848932,109
48,unemployed,married,professional.course,no,yes,no,cellular,may,wed,236,1,6,2,success,-1.8,93.876,-40.0,0.682,5008.7,1,40-50,1,0,Spring,1,Warm Prospects,0.98488927,110
21,student,single,basic.9y,no,no,no,cellular,mar,wed,363,1,6,1,success,-1.8,93.369,-34.8,0.655,5008.7,1,<30,1,0,Spring,1,Warm Prospects,0.98484355,111
59,retired,divorced,basic.4y,no,yes,yes,cellular,jul,mon,796,1,6,1,success,-1.7,94.215,-40.3,0.827,4991.6,1,50-60,1,0,Summer,2,High-Value Responders,0.98483306,112
25,student,single,high.school,no,yes,yes,cellular,jun,tue,660,2,6,3,success,-1.7,94.055,-39.8,0.761,4991.6,1,<30,1,0,Summer,1,Warm Prospects,0.98478377,113
37,unemployed,married,university.degree,no,yes,no,cellular,jun,mon,614,3,3,2,success,-1.7,94.055,-39.8,0.754,4991.6,1,30-40,1,0,Summer,1,Warm Prospects,0.98458534,114
34,admin.,single,university.degree,no,no,yes,cellular,mar,tue,305,1,11,1,success,-1.8,93.369,-34.8,0.652,5008.7,1,30-40,1,0,Spring,1,Warm Prospects,0.9845824,115
31,technician,single,university.degree,no,yes,no,telephone,jul,thu,426,1,6,2,success,-1.7,94.215,-40.3,0.899,4991.6,1,30-40,1,0,Summer,1,Warm Prospects,0.9845387,116
39,technician,married,professional.course,no,yes,no,cellular,may,mon,1046,3,11,1,success,-1.8,92.893,-46.2,1.354,5099.1,1,30-40,1,0,Spring,1,Warm Prospects,0.98452234,117
92,retired,married,university.degree,no,no,yes,cellular,aug,wed,370,1,3,4,success,-1.7,94.027,-38.3,0.903,4991.6,1,60+,1,0,Summer,2,High-Value Responders,0.9845144,118
31,technician,single,university.degree,no,yes,no,cellular,apr,thu,701,1,5,1,success,-1.8,93.075,-47.1,1.365,5099.1,1,30-40,1,0,Spring,1,Warm Prospects,0.9844663,119
48,admin.,married,university.degree,no,yes,yes,cellular,aug,wed,288,1,0,3,success,-1.7,94.027,-38.3,0.9,4991.6,1,40-50,1,0,Summer,1,Warm Prospects,0.98446447,120
34,admin.,single,university.degree,no,no,yes,cellular,mar,tue,288,2,3,1,success,-1.8,93.369,-34.8,0.652,5008.7,1,30-40,1,0,Spring,1,Warm Prospects,0.9844432,121
77,retired,married,university.degree,no,yes,no,telephone,may,wed,372,1,3,4,success,-1.8,93.876,-40.0,0.682,5008.7,1,60+,1,0,Spring,2,High-Value Responders,0.9844334,122
61,blue-collar,married,basic.6y,no,yes,yes,cellular,may,fri,403,1,3,2,success,-1.8,93.876,-40.0,0.695,5008.7,1,60+,1,0,Spring,1,Warm Prospects,0.98440915,123
60,management,married,university.degree,no,yes,no,cellular,may,thu,336,3,3,5,success,-1.8,93.876,-40.0,0.683,5008.7,1,50-60,1,0,Spring,1,Warm Prospects,0.9843722,124
50,admin.,single,university.degree,no,no,no,cellular,aug,tue,372,1,6,2,success,-1.7,94.027,-38.3,0.904,4991.6,1,40-50,1,0,Summer,1,Warm Prospects,0.98434204,125
69,retired,married,university.degree,no,yes,no,cellular,apr,thu,616,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,60+,0,0,Spring,2,High-Value Responders,0.98424375,126
37,technician,married,university.degree,no,yes,no,cellular,may,thu,246,1,2,4,success,-1.8,93.876,-40.0,0.677,5008.7,1,30-40,1,0,Spring,1,Warm Prospects,0.98422354,127
62,retired,married,university.degree,no,yes,no,cellular,dec,wed,282,1,6,1,success,-3.0,92.713,-33.0,0.706,5023.5,1,60+,1,0,Winter,2,High-Value Responders,0.9842167,128
78,retired,divorced,basic.4y,no,yes,no,cellular,nov,thu,463,1,3,1,success,-3.4,92.649,-30.1,0.714,5017.5,0,60+,1,0,Autumn,2,High-Value Responders,0.9842138,129
37,admin.,married,university.degree,no,yes,no,cellular,jul,fri,1005,5,4,2,success,-1.7,94.215,-40.3,0.896,4991.6,1,30-40,1,1,Summer,1,Warm Prospects,0.98417723,130
42,admin.,divorced,university.degree,no,no,no,cellular,sep,wed,678,1,16,1,success,-1.1,94.199,-37.5,0.886,4963.6,1,40-50,1,0,Autumn,1,Warm Prospects,0.9841537,131
31,admin.,single,university.degree,no,yes,no,cellular,jul,fri,815,2,13,2,success,-1.7,94.215,-40.3,0.861,4991.6,1,30-40,1,0,Summer,1,Warm Prospects,0.98413384,132
24,technician,single,professional.course,no,yes,no,cellular,jul,mon,607,3,13,1,success,-1.7,94.215,-40.3,0.889,4991.6,1,<30,1,0,Summer,1,Warm Prospects,0.98409355,133
22,services,single,professional.course,no,yes,yes,cellular,sep,tue,239,1,3,2,success,-3.4,92.379,-29.8,0.755,5017.5,1,<30,1,0,Autumn,1,Warm Prospects,0.98400176,134
51,technician,married,university.degree,no,yes,no,cellular,jun,tue,303,1,10,1,success,-1.7,94.055,-39.8,0.702,4991.6,1,50-60,1,0,Summer,1,Warm Prospects,0.9839947,135
19,student,single,basic.4y,no,yes,no,cellular,sep,wed,396,2,6,3,success,-1.1,94.199,-37.5,0.876,4963.6,1,<30,1,0,Autumn,1,Warm Prospects,0.9839739,136
65,management,married,university.degree,no,no,no,cellular,dec,wed,456,2,9,1,success,-3.0,92.713,-33.0,0.715,5023.5,1,60+,1,0,Winter,1,Warm Prospects,0.9839289,137
29,student,single,professional.course,no,no,no,cellular,nov,thu,227,3,3,2,success,-3.4,92.649,-30.1,0.714,5017.5,1,<30,1,0,Autumn,1,Warm Prospects,0.9837981,138
30,admin.,single,university.degree,no,yes,no,cellular,jul,tue,255,2,3,1,success,-1.7,94.215,-40.3,0.797,4991.6,0,<30,1,0,Summer,1,Warm Prospects,0.9837916,139
80,retired,married,basic.4y,no,no,no,cellular,may,mon,382,1,3,3,success,-1.8,93.876,-40.0,0.697,5008.7,1,60+,1,0,Spring,2,High-Value Responders,0.9837789,140
79,retired,married,basic.4y,no,no,yes,cellular,nov,tue,301,2,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,60+,1,0,Autumn,2,High-Value Responders,0.9837774,141
68,retired,divorced,basic.4y,no,yes,no,cellular,mar,tue,277,2,11,1,success,-1.8,93.369,-34.8,0.635,5008.7,1,60+,1,0,Spring,2,High-Value Responders,0.9837505,142
55,services,married,basic.9y,no,yes,no,cellular,dec,wed,314,1,6,1,success,-3.0,92.713,-33.0,0.715,5023.5,1,50-60,1,0,Winter,1,Warm Prospects,0.98374176,143
52,admin.,married,university.degree,no,no,no,cellular,mar,tue,231,1,6,2,success,-1.8,93.369,-34.8,0.646,5008.7,1,50-60,1,0,Spring,1,Warm Prospects,0.98370636,144
60,unemployed,married,high.school,no,yes,no,cellular,apr,thu,1260,2,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1,50-60,1,0,Spring,1,Warm Prospects,0.98370486,145
